incident_key,year,date,incident_type_code,incident_type,county,city,zip,address,property_loss,contents_loss,property_value,ff_deaths,civilian_deaths,ff_injuries,civilian_injuries,latitude,longitude,total_sqft,stories_above,stories_below,cause_code,cause,heat_code,heat_source
CA_36170_9292010_1010961_0,2010,2010-09-29,111,Building fire,San Bernardino,ONTARIO,91768,312 SAN ANTONIO,3000,300,3000,0,0,0,0,34.0633,-117.6509,2000,1,0,5,Under Investigation,UU,UU
CA_36170_9292010_1010961_1,2010,2010-09-29,111,Building fire,San Bernardino,ONTARIO,91661,312 San Antonio,0,10000,15000,0,0,0,0,34.0633,-117.6509,800,1,0,0,Other,82,82
CA_30035_9262008_0808360_0,2008,2008-09-26,111,Building fire,Orange,GARDEN GROVE,92843,11053 CYNTHIA,25000,10000,0,0,0,0,0,33.7175,-117.8311,,,,5,Under Investigation,UU,UU
CA_19105_9242005_542_0,2005,2005-09-24,111,Building fire,Los Angeles,WILSHIRE,90019,01269 COCHRAN,0,0,0,0,0,0,0,34.0522,-118.2437,1000,1,0,3,Equipment Failure,11,Spark/ember from equipment
CA_36180_9222009_9005992_3,2009,2009-09-22,111,Building fire,San Bernardino,REDLANDS,92373,30413 Sunset,12350,0,100000,0,0,0,0,34.0556,-117.1825,500,1,0,0,Other,81,81
CA_19100_9222005_0033815_0,2005,2005-09-22,111,Building fire,Los Angeles,LONG BEACH,90805,6545 GARDENIA,500,500,0,0,0,0,0,33.7701,-118.1937,10,1,0,2,Unintentional,13,Electrical arcing
CA_19105_9202010_1229_0,2010,2010-09-20,111,Building fire,Los Angeles,LOS ANGELES,90022,03666 WHITTIER,200000,1500000,0,0,0,0,0,34.0522,-118.2437,5000,1,0,5,Under Investigation,UU,UU
CA_19105_9192009_559_0,2009,2009-09-19,111,Building fire,Los Angeles,GRANADA HILLS,91344,10342 WHITAKER,500,1000,0,0,0,0,1,34.0522,-118.2437,80,1,0,3,Equipment Failure,13,Electrical arcing
CA_19105_9162005_137_0,2005,2005-09-16,111,Building fire,Los Angeles,NORTH HOLLYWOOD,91606,06121 LANKERSHIM,5000,5000,0,0,0,0,0,34.187,-118.3813,22500,3,0,U,Undetermined,UU,UU
CA_36170_9142006_0611024_0,2006,2006-09-14,111,Building fire,San Bernardino,ONTARIO,91764,5675 CONCOURS,500,20000,50000000,0,0,0,0,34.0633,-117.6509,320000,1,0,3,Equipment Failure,13,Electrical arcing
CA_19105_9142005_1158_0,2005,2005-09-14,111,Building fire,Los Angeles,LOS ANGELES,90026,02301 BELLEVUE,7000,7000,0,0,0,0,0,34.0522,-118.2437,1600,60,0,3,Equipment Failure,13,Electrical arcing
CA_19110_9132010_0206860_1,2010,2010-09-13,111,Building fire,Los Angeles,LOS ANGELES,00000,985 s Fairway,125000,75000,0,0,0,0,0,34.0522,-118.2437,8000,0,0,0,Other,13,Electrical arcing
CA_19175_9132007_18951_0,2007,2007-09-13,111,Building fire,Los Angeles,SANTA FE SPRINGS,90670,8531 WELLSFORD,0,0,0,0,0,0,0,33.9475,-118.0736,1750,1,0,U,Undetermined,UU,UU
CA_36180_9092006_6005487_1,2006,2006-09-09,111,Building fire,San Bernardino,REDLANDS,92373,539 STUART,100000,10000,150000,0,0,0,0,34.0556,-117.1825,1000,1,0,0,Other,82,82
CA_36180_9092006_6005487_2,2006,2006-09-09,111,Building fire,San Bernardino,REDLANDS,92374,511 STUART,1500,100,150000,0,0,0,0,34.0556,-117.1825,1000,0,0,0,Other,82,82
CA_36140_9072010_1002492_1,2010,2010-09-07,111,Building fire,San Bernardino,MONTCLAIR,91763,5177 Village,8000,3000,24000,0,0,0,0,34.1083,-117.2898,440,1,0,0,Other,81,81
CA_33070_9042009_78290_0,2009,2009-09-04,111,Building fire,Riverside,PERR,92571,HARLEY KNOX,0,0,0,0,0,0,0,33.9533,-117.3961,450,1,0,5,Under Investigation,UU,UU
CA_19100_9042006_0031971_0,2006,2006-09-04,111,Building fire,Los Angeles,LONG BEACH,90805,6897 PARAMOUNT,0,0,0,0,0,0,0,33.7701,-118.1937,250000,1,0,U,Undetermined,UU,UU
